"Iteration","CFL Number Monitor: CFL Number Monitor"
1.0,1.0
2.0,1.0
3.0,1.1
4.0,1.2100000000000002
5.0,1.3310000000000004
6.0,1.4641000000000006
7.0,1.6105100000000008
8.0,1.771561000000001
9.0,1.9487171000000014
10.0,2.1435888100000016
11.0,2.357947691000002
12.0,2.5937424601000023
13.0,2.853116706110003
14.0,3.1384283767210035
15.0,3.4522712143931042
16.0,3.797498335832415
17.0,4.177248169415656
18.0,4.594972986357222
19.0,5.054470284992944
20.0,5.559917313492239
21.0,6.115909044841463
22.0,6.72749994932561
23.0,7.400249944258172
24.0,8.140274938683989
25.0,8.954302432552389
26.0,9.849732675807628
27.0,10.834705943388391
28.0,11.91817653772723
29.0,13.109994191499954
30.0,14.420993610649951
31.0,15.863092971714948
32.0,17.449402268886445
33.0,19.19434249577509
34.0,21.1137767453526
35.0,23.22515441988786
36.0,25.54766986187665
37.0,28.102436848064315
38.0,30.91268053287075
39.0,34.003948586157826
40.0,37.40434344477361
41.0,41.14477778925097
42.0,45.25925556817607
43.0,49.785181124993684
44.0,54.76369923749306
45.0,60.24006916124237
46.0,66.26407607736661
47.0,72.89048368510328
48.0,80.17953205361361
49.0,88.19748525897498
50.0,82.37555280511243
51.0,90.61310808562368
52.0,78.134537098427
53.0,85.94799080826971
54.0,94.54278988909668
55.0,103.99706887800636
56.0,97.13220296227628
57.0,106.84542325850391
58.0,92.13145717835961
59.0,101.34460289619558
60.0,111.47906318581515
61.0,122.62696950439667
62.0,114.53234037319011
63.0,125.98557441050913
64.0,108.63576744705378
65.0,119.49934419175916
66.0,103.0427731621986
67.0,113.34705047841847
68.0,97.73772810258978
69.0,107.51150091284877
70.0,92.70580751567135
71.0,101.97638826723849
72.0,87.93294988514245
73.0,96.7262448736567
74.0,83.40581763656921
75.0,91.74639940022614
76.0,79.11175986602547
77.0,87.02293585262802
78.0,75.03877698760871
79.0,82.54265468636959
80.0,71.17548720104035
81.0,78.2930359211444
82.0,67.5110946856451
83.0,74.26220415420963
84.0,64.03535943182867
85.0,70.43889537501154
86.0,60.73856862574891
87.0,66.81242548832381
88.0,57.611509507216304
89.0,63.37266045793794
90.0,54.64544362497561
91.0,60.109987987473176
92.0,51.83208241742653
93.0,57.01529065916918
94.0,62.716819725086104
95.0,58.57687075615142
96.0,64.43455783176657
97.0,55.56110430037958
98.0,61.117214730417544
99.0,67.2289362034593
100.0,73.95182982380524
101.0,69.07025574253154
102.0,75.9772813167847
103.0,65.51424877816098
104.0,72.06567365597708
105.0,79.2722410215748
106.0,74.03946560469345
107.0,81.4434121651628
108.0,70.22762427736446
109.0,77.25038670510091
110.0,84.97542537561101
111.0,79.36618169567626
112.0,87.3027998652439
113.0,96.03307985176829
114.0,105.63638783694513
115.0,116.20002662063966
116.0,127.82002928270364
117.0,140.60203221097402
118.0,154.66223543207144
119.0,170.1284589752786
120.0,187.14130487280647
121.0,200.0
122.0,200.0
123.0,200.0
124.0,200.0
125.0,200.0
126.0,200.0
127.0,200.0
128.0,200.0
129.0,200.0
130.0,200.0
131.0,200.0
132.0,200.0
133.0,200.0
134.0,200.0
135.0,200.0
136.0,200.0
137.0,200.0
138.0,200.0
139.0,200.0
140.0,200.0
141.0,200.0
142.0,200.0
143.0,200.0
144.0,200.0
145.0,200.0
146.0,200.0
147.0,200.0
148.0,200.0
149.0,200.0
150.0,200.0
151.0,200.0
152.0,200.0
153.0,200.0
154.0,200.0
155.0,200.0
156.0,200.0
157.0,200.0
158.0,200.0
159.0,200.0
160.0,200.0
161.0,200.0
162.0,200.0
163.0,200.0
164.0,200.0
165.0,200.0
166.0,200.0
167.0,200.0
168.0,200.0
169.0,200.0
170.0,200.0
171.0,200.0
172.0,200.0
173.0,200.0
174.0,200.0
175.0,200.0
176.0,200.0
177.0,200.0
178.0,200.0
179.0,200.0
180.0,200.0
181.0,200.0
182.0,200.0
183.0,200.0
184.0,200.0
185.0,200.0
186.0,200.0
187.0,200.0
188.0,200.0
189.0,200.0
190.0,200.0
191.0,200.0
192.0,200.0
193.0,200.0
194.0,200.0
195.0,200.0
196.0,200.0
197.0,200.0
198.0,200.0
199.0,200.0
200.0,200.0
201.0,200.0
202.0,200.0
203.0,200.0
204.0,200.0
205.0,200.0
206.0,200.0
207.0,200.0
208.0,200.0
209.0,200.0
210.0,200.0
211.0,200.0
212.0,200.0
213.0,200.0
214.0,200.0
215.0,200.0
216.0,200.0
217.0,200.0
218.0,200.0
219.0,200.0
220.0,200.0
221.0,200.0
222.0,200.0
223.0,200.0
224.0,200.0
225.0,200.0
226.0,200.0
227.0,200.0
228.0,200.0
229.0,200.0
230.0,200.0
231.0,200.0
232.0,200.0
233.0,200.0
234.0,200.0
235.0,200.0
236.0,200.0
237.0,200.0
238.0,200.0
239.0,200.0
240.0,200.0
241.0,200.0
242.0,200.0
243.0,200.0
244.0,200.0
245.0,200.0
246.0,200.0
247.0,200.0
248.0,200.0
249.0,200.0
250.0,200.0
251.0,200.0
252.0,200.0
253.0,200.0
254.0,200.0
255.0,200.0
256.0,200.0
257.0,200.0
258.0,200.0
259.0,200.0
260.0,200.0
261.0,200.0
262.0,200.0
263.0,200.0
264.0,200.0
265.0,200.0
266.0,200.0
267.0,200.0
268.0,200.0
269.0,200.0
