"Iteration: Iteration","CFL Number Monitor: CFL Number"
1,1
2,1
3,1.1000000000000001
4,1.2100000000000002
5,1.3310000000000004
6,1.4641000000000006
7,1.6105100000000008
8,1.7715610000000011
9,1.9487171000000014
10,2.1435888100000016
11,2.3579476910000019
12,2.5937424601000023
13,2.8531167061100029
14,3.1384283767210035
15,3.4522712143931042
16,3.7974983358324148
17,4.1772481694156562
18,4.594972986357222
19,5.0544702849929442
20,5.5599173134922388
21,6.1159090448414632
22,6.72749994932561
23,7.4002499442581717
24,8.140274938683989
25,8.9543024325523888
26,9.849732675807628
27,10.834705943388391
28,11.918176537727231
29,13.109994191499954
30,14.420993610649951
31,15.863092971714948
32,17.449402268886445
33,19.194342495775089
34,21.113776745352599
35,23.225154419887861
36,25.547669861876649
37,28.102436848064315
38,30.912680532870748
39,34.003948586157826
40,37.404343444773609
41,41.144777789250973
42,45.259255568176073
43,49.785181124993684
44,54.763699237493057
45,60.240069161242367
46,66.26407607736661
47,72.890483685103277
48,80.179532053613613
49,88.197485258974979
50,82.375552805112434
51,90.613108085623679
52,78.134537098427003
53,85.947990808269708
54,94.542789889096682
55,103.99706887800636
56,97.132202962276281
57,106.84542325850391
58,92.131457178359611
59,101.34460289619558
60,111.47906318581515
61,122.62696950439667
62,114.53234037319011
63,125.98557441050913
64,108.63576744705378
65,119.49934419175916
66,103.0427731621986
67,113.34705047841847
68,97.737728102589784
69,107.51150091284877
70,92.705807515671353
71,101.97638826723849
72,87.932949885142449
73,96.726244873656697
74,83.405817636569211
75,91.746399400226139
76,79.111759866025466
77,87.022935852628024
78,75.038776987608713
79,82.542654686369588
80,71.175487201040355
81,78.293035921144394
82,67.511094685645105
83,74.262204154209627
84,64.035359431828667
85,70.438895375011541
86,60.738568625748911
87,66.812425488323811
88,57.611509507216304
89,63.37266045793794
90,54.645443624975613
91,60.109987987473176
92,51.832082417426527
93,57.015290659169182
94,62.716819725086104
95,58.576870756151422
96,64.434557831766568
97,55.561104300379583
98,61.117214730417544
99,67.228936203459298
100,73.951829823805241
101,69.070255742531543
102,75.977281316784698
103,65.514248778160976
104,72.065673655977079
105,79.2722410215748
106,74.039465604693447
107,81.443412165162798
108,70.227624277364455
109,77.250386705100908
110,84.97542537561101
111,79.366181695676261
112,87.302799865243898
113,96.033079851768292
114,105.63638783694513
115,116.20002662063966
116,127.82002928270364
117,140.60203221097402
118,154.66223543207144
119,170.12845897527859
120,187.14130487280647
121,200
122,200
123,200
124,200
125,200
126,200
127,200
128,200
129,200
130,200
131,200
132,200
133,200
134,200
135,200
136,200
137,200
138,200
139,200
140,200
141,200
142,200
143,200
144,200
145,200
146,200
147,200
148,200
149,200
150,200
151,200
152,200
153,200
154,200
155,200
156,200
157,200
158,200
159,200
160,200
161,200
162,200
163,200
164,200
165,200
166,200
167,200
168,200
169,200
170,200
171,200
172,200
173,200
174,200
175,200
176,200
177,200
178,200
179,200
180,200
181,200
182,200
183,200
184,200
185,200
186,200
187,200
188,200
189,200
190,200
191,200
192,200
193,200
194,200
195,200
196,200
197,200
198,200
199,200
200,200
201,200
202,200
203,200
204,200
205,200
206,200
207,200
208,200
209,200
210,200
211,200
212,200
213,200
214,200
215,200
216,200
217,200
218,200
219,200
220,200
221,200
222,200
223,200
224,200
225,200
226,200
227,200
228,200
229,200
230,200
231,200
232,200
233,200
234,200
235,200
236,200
237,200
238,200
239,200
240,200
241,200
242,200
243,200
244,200
245,200
246,200
247,200
248,200
249,200
250,200
251,200
252,200
253,200
254,200
255,200
256,200
257,200
258,200
259,200
260,200
261,200
262,200
263,200
264,200
265,200
266,200
267,200
268,200
269,200
270,200
271,200
272,200
273,200
274,200
275,200
276,187.41554555652198
277,200
278,173.24469289863421
279,190.56916218849764
280,200
281,187.10213038926443
282,200
283,200
284,200
285,200
286,200
287,200
288,200
289,200
290,200
291,200
292,200
293,200
294,200
295,200
296,200
297,200
298,200
299,200
300,200
301,200
302,200
303,200
304,200
305,200
306,200
307,200
308,200
309,200
310,200
311,200
312,200
313,200
314,200
315,200
316,200
317,200
318,200
319,200
320,200
321,200
322,200
323,200
324,200
325,200
326,200
327,200
328,200
329,200
330,200
331,200
332,200
333,200
334,200
335,200
336,200
337,200
338,200
339,200
340,200
341,200
342,200
343,200
344,200
345,200
346,200
347,200
348,200
349,200
350,200
351,200
352,200
353,200
354,200
355,200
356,200
357,200
358,200
359,200
360,200
361,200
362,200
363,200
364,200
365,200
366,200
367,200
368,200
369,200
370,200
371,200
372,200
373,200
374,200
375,200
376,200
377,200
378,200
379,200
380,200
381,200
382,200
383,174.86488713110452
384,192.351375844215
385,200
386,200
387,200
388,200
389,200
390,200
391,200
392,200
393,200
394,200
395,200
396,200
397,200
398,200
399,200
400,200
401,200
402,200
403,200
404,200
405,200
